sr_no,date,startup_name,industry_vertical,subvertical,city_location,investors_name,investment_type,amount_in_usd,remarks,city_clean,industry_clean,amount_clean,date_clean
2824,9/4/2015,Changer Mints,Digital / Mobile Wallet,Unknown,Kolkata,Hyderabad based investor,Seed Funding,"1,65,000",,Kolkata,Digital / Mobile Wallet,165000,4/9/2015
2825,9/4/2015,Urban Ladder,Online Furnishing\\neCommerce,Unknown,Bengaluru,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"5,00,00,000",Series C,Bengaluru,Online Furnishing\\neCommerce,50000000,4/9/2015
2826,9/4/2015,Purple Squirrel,Ed-Tech,Unknown,Mumbai,"Matrix Partners India, India Quotient",Private Equity,,Series B,Mumbai,EdTech,,4/9/2015
2827,10/4/2015,Whatfix,Interactive  How-To Guides,Unknown,Bengaluru,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"9,00,000",,Bengaluru,Interactive How-To Guides,900000,4/10/2015
2828,10/4/2015,iMMi Life,Mobile Health Tech,Unknown,Chennai,Unitus Seed Fund,Seed Funding,,,Chennai,Mobile Health Tech,,4/10/2015
2829,11/4/2015,Zomato,Restaurant Reviews,Unknown,Gurugram,Info Edge (India),Private Equity,"2,50,00,000",Late Stage,Gurugram,Restaurant Reviews,25000000,4/11/2015
2830,13/04/2015,ZopNow,Online Grocer,Unknown,Bengaluru,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"1,00,00,000",Series B,Bengaluru,Online Grocer,10000000,4/13/2015
2831,13/04/2015,Nayi Disha,Ed-Tech,Unknown,New Delhi,"Ajay Relan,",Seed Funding,"3,00,000",,New Delhi,EdTech,300000,4/13/2015
2832,13/04.2015,The Porter,Logistics Tech,Unknown,Mumbai,Kae Capital,Seed Funding,"5,00,000",,Mumbai,Logistics Tech,500000,4/13/2015
2833,13/04/2015,Commeasure,Online Hotel Booking,Unknown,Noida,Jungle Ventures,Seed Funding,"10,00,000",,Noida,Online Hotel Booking,1000000,4/13/2015
2834,13/04/2015,Capricoast,Online Kitchen Furniture,Unknown,Bengaluru,Accel Partners India,Seed Funding,"12,50,000",,Bengaluru,Online Kitchen Furniture,1250000,4/13/2015
2835,14/04/2015,LocalOye,Hyper-local Online Services,Unknown,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"50,00,000",Series A,Mumbai,Hyper-local Online Services,5000000,4/14/2015
2836,15/04/2015,Grofers,Hyper-Local Online/Mobile Grocery,Unknown,Gurugram,"Tiger Global, Sequoia Capital",Private Equity,"3,50,00,000",Series B,Gurugram,Hyper-Local Online/Mobile Grocery,35000000,4/15/2015
2837,15/04/2015,PepperTap,Hyper-Local Online/Mobile Grocery,Unknown,Gurugram,"SAIF Partners, Sequoia Capital",Private Equity,"1,00,00,000",Series A,Gurugram,Hyper-Local Online/Mobile Grocery,10000000,4/15/2015
2838,15/04/2015,PolicyBazaar,Online Policy Aggregator,Unknown,Gurugram,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"4,00,00,000",Series D,Gurugram,Online Policy Aggregator,40000000,4/15/2015
