"sr_no","date_clean","startup_name","industry_clean","subvertical","city_clean","investors_name","investment_type","amount_clean"
"1956","2/15/2016","Buddy","Finance","Micro Lending Platform for eCommerce purchases","Bengaluru","Blume Ventures,\\xc2\\xa0 Tracxn Labs","Seed Funding","500000.0"
"1957","2/15/2016","Legistify","Consumer Internet","Online Legal services platform","New Delhi","Ranjit Singh","Seed Funding",""
"1958","2/16/2016","TableHero","Consumer Internet","Dynamic Restaurant Website creator","Bengaluru","GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor","Seed Funding","1000000.0"
"1959","2/16/2016","BetterPlace","Technology","Data analytics based Verification services Platform","Bengaluru","Unitus Seed Fund","Seed Funding","970000.0"
"1960","2/16/2016","Salebhai","E-Commerce","Sweets, Eatables, Handicrafts Online Marketplace","Ahmedabad","Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others","Seed Funding",""
"1961","2/16/2016","icustommadeit","E-Commerce","Professional Custom creators Marketplace","Pune","Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa","Private Equity","4000000.0"
"1962","2/16/2016","Tring","Consumer Internet","Instant Messaging App","Pune","Vishwadeep Bajaj & Others","Seed Funding",""
"1963","2/16/2016","Medinfi","Consumer Internet","Doctor & Clinics Discovery platform","Bengaluru","Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal","Seed Funding",""
"1964","2/17/2016","Timemytask","Consumer Internet","On-Demand home cleaning services","Mumbai","Lead Angels","Seed Funding",""
"1965","2/17/2016","GameZop","Technology","Mobile Gaming Platform","New Delhi","KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others","Seed Funding","350000.0"
"1966","2/17/2016","Notary Mama","Consumer Internet","On-demand Legal documentation and registration service","Bengaluru","Dr Nandish Domlur, Amit Sandill","Seed Funding",""
"1967","2/17/2016","The Viral Fever","Consumer Internet","Independent Online Video production company","Mumbai","Tiger Global","Private Equity","10000000.0"
"1968","2/17/2016","Avanti Learning","Education","Private Coaching Classes","New Delhi","Michael & Susan Dell Foundation","Private Equity","5000000.0"
"1969","2/17/2016","Bollant Industries","Technology","Eco-friendly consumer & packaging products","Hyderabad","Ratan Tata","Private Equity",""
"1970","2/18/2016","GetVee","Consumer Internet","Matrimony & Couples only mobile platform","New Delhi","Lightspeed Venture Partners, K Ganesh","Private Equity",""
"1971","2/18/2016","HealthKumbh","Consumer Internet","Health related Information portal","Ahmedabad","Undisclosed investor","Seed Funding","73000.0"
"1972","2/18/2016","Unlaze","Consumer Internet","Social Networking app for outdoor interests","Gurugram","Sujal Shah, Dino Morea","Seed Funding",""
"1973","2/18/2016","Tracxn","Technology","Indian Startup ecosystem trends analyzer & funding platform","Bengaluru","Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato","Private Equity",""
"1974","2/18/2016","Careongo","E-Commerce","Online Pharmacy store","New Delhi","Farooq Oomerbhoy & Other angel investors","Seed Funding","300000.0"
"1975","2/18/2016","Ark Robot","Technology","Warehouse Automation","Bengaluru","Qualcomm (Through QPrize Contest)","Seed Funding","350000.0"
